text,label,label_name,source,sarcasm_type,hate_type
বোকা চোদারা কিসের সাথে কি মিলায়,1,Explicit Hateful,BD_SHS,None,Abusive
আশ্চর্য কয়দিন আগে এফবিসিসি আই এর হেলেনা জাহাঙ্গীর পোস্ট দিলেন আলমগির মারা গিয়েছে ।,2,Implicit Hateful,BenSarc,Humor,None
শহিদু।,0,Not Hateful,BIDWESH,None,Non-hateful
ইন্ডিয়ার বিপক্ষে বাংলাদেশের যুদ্ধ ঘষনা করা হবে যদি মুসলমানদের বাংলাদেশ পাঠানোর চেষ্টা করে ইনশাআল্লাহ,0,Not Hateful,BD_SHS,None,Offensive
পুলিশরা আসল কাহিনী উদঘাটন করে ফেলায় নিজের বিচার নিজেই করতে পুলিশে যোগ দিলেন বতলমনি । প্রথমআলু,2,Implicit Hateful,BenSarc,Irony,None
কুত্তার বাচ্চা কার কাছ থেকে কি বুঝবে তারা কি মিথ্যা বলছে আবালটারে ধরে পিটালে ঠিক হবে।,1,Explicit Hateful,BD_SHS,None,Abusive
লজ্জা আত্মহত্যা করেছে ।,2,Implicit Hateful,BenSarc,Metaphore,None
গালী দিছে তো কি হইছে আমি দিলাম কি বাল ছিরবো আইতে বলিস হোগা দিয়া বেট ডুকাইয়া দিমু কতো গালী দিছে পাবলীক জিবনে কোনোদিন গ্যালারীতে ওঠে না।।এরেই বলে ছল নাই কুত্তার বাঘা নাম।।��,1,Explicit Hateful,BD_SHS,None,Offensive
ঐ মাদাৃ চোদ খানকির পোলা তর মায় রে চুইদ্দা মাল বাইর কইরা দিমু,1,Explicit Hateful,BD_SHS,None,Abusive
ভালই হলো আর পানি টানতে হলোনা তাকে । পানি টানার বিশ্বকাপ প্রস্তুতি শেষে শীঘ্রই সে দেশে আসবে বলে আমরা আশা করছি ।,2,Implicit Hateful,BenSarc,Humor,None
মানসিক রোগী এই নায়িকা একটা ।,2,Implicit Hateful,BenSarc,None,Offensive
তোর এই লাখ টাকার দুধ দেহার লইগ্যা যে বাংলার ভালো পোলাগোর কটি টাকার ঘি নষ্ট হচ্ছে সেটা কি বুঝতে পারছিস।,1,Explicit Hateful,BIDWESH,None,Offensive
সিঙ্গেলদের জন্য জানুয়ারি মাস ফেব্রুয়ারি মাস সব একই,2,Implicit Hateful,BanglaSarc3,Humor,None
তোরে জুতা মারমু,1,Explicit Hateful,BD_SHS,None,Abusive
ছি মার্কা কথাবার্তা,2,Implicit Hateful,BenSarc,Humor,None
এসব দেখলে আর ঈদের খুশি লাগে না আমাদের ভাই বোনরাই কষ্টে আছে । আল্লাহ ভরসা নিশ্চয়ই কষ্টের পরে বিজয় মুসলিমদের হবে,0,Not Hateful,BenSarc,None,Non-hateful
